course_code,course_name,credits,day,start_time,end_time,room,lecturer,exam_date,exam_session
ATM2301,"(AT231,AM231 ) PRINCIPLES OF PLANT PATHOLOGY LEC.",3,W,9:30,12:30,KMB 315,ASST.PROF.DR.HARIT; ASST.PROF.DR.HARIT,,
ATM3601,"(AT361,AM361)AGRICULTURAL ENTOMOLOGY",3,M,13:30,15:20,KMB 611,ASST.PROF.DR.ARUNRAT,,
ATM3601,"(AT361,AM361)AGRICULTURAL ENTOMOLOGY",3,M,15:30,18:30,KMB 611,ASST.PROF.DR.ARUNRAT; ASST.PROF.DR.ARUNRAT,,
ATM3703,"(AT373,AM373 )DISEASES OF ECONOMIC PLANTS",3,TH,7:30,9:20,KMB 315,ASST.PROF.DR.HARIT,,
ATM3703,"(AT373,AM373 )DISEASES OF ECONOMIC PLANTS",3,TH,9:30,12:30,KMB 315,ASST.PROF.DR.HARIT; ASST.PROF.DR.HARIT,,
ATM4603,BEEKEEPING AND POLLINATION,3,W,13:30,15:20,KMB 611,ASST.PROF.DR.ARUNRAT,,
ATM4603,BEEKEEPING AND POLLINATION,3,W,15:30,18:30,KMB 611,ASST.PROF.DR.ARUNRAT; ASST.PROF.DR.ARUNRAT,,
ATM4605,"(AT465,AM465)MEDICAL AND VETERINARY",3,TH,13:30,15:20,KMB 611,ASST.PROF.DR.ARUNRAT,,
ATM4605,"(AT465,AM465)MEDICAL AND VETERINARY",3,TH,15:30,18:30,KMB 611,ASST.PROF.DR.ARUNRAT; ASST.PROF.DR.ARUNRAT,,
ATM4908,SPECIAL PROBLEM IN PESTS PROTECTION,3,F,9:30,16:30,KMB 612,,,
ATM4909,SEMINAR IN PEST MANAGEMENT,1,M,13:30,14:30,KMB 101,,,
ATS1003,ORGANIC FARMING,3,TU,13:30,16:30,KMB 315,ASST.PROF.DR.HARIT,,
ATS1005,"(AT204,AS105)PLANT, FOOD AND MAN",3,F,13:30,16:30,KMB 104,DR.PONGSAK,,
ATS2003,SUSTAINNABLE AGRICULTURE,3,F,9:30,12:30,KMB 316,,,
ATS2103,BASIC MICROORGANISM IN AGRICULTURE,3,F,7:30,9:20,KMB 315,ASST.PROF.DR.HARIT,,
ATS2103,BASIC MICROORGANISM IN AGRICULTURE,3,F,9:30,12:30,KMB 315,ASST.PROF.DR.HARIT; ASST.PROF.DR.HARIT,,
ATS2303,APPLIED GENETICS IN AGRICULTURE,3,TH,13:30,15:20,SCO 109/1,,,
ATS2303,APPLIED GENETICS IN AGRICULTURE,3,TH,15:30,18:30,SCO 109/1,,,
ATS3003,"(AT303,AS303)AGRICULTURAL GENETICS",3,TH,13:30,15:20,SCO 109/1,,,
ATS3003,"(AT303,AS303)AGRICULTURAL GENETICS",3,TH,15:30,18:30,SCO 109/1,,,
ATS3103,AGRICULTURE SOIL SCIENCE,3,TH,13:30,16:30,KMB 104,DR.PONGSAK,,
ATS4804,"(AT484,AS484)QUALITY CONTROL OF",3,M,13:30,16:30,SCO 109/1,,,
BAP3101,PRINCIPLES AND PROFESSION OF PUBLIC,3,M,11:30,13:20,SBB 306,,28-10-25,B
BAP3102,PRINCIPLES AND PROFESSION OF ADVERTISING,3,W,9:30,11:20,SBB 307,DR.NALIN,27-10-25,B
